Brinco_Pai;Brinco_Mae;Media_Pai;Media_Mae;Idade;Ordem_Lac;DEL;Brinco_Animal;Prod_Leit
14101;14031;1.66;1.87;2;1;242;20062;0.8
14101;14031;1.66;1.87;2;1;18;20062;2.9
14101;14031;1.66;1.87;2;2;45;20062;3.2
14101;14031;1.66;1.87;2;2;81;20062;4.1
14101;14031;1.66;1.87;2;2;112;20062;1.6
14101;14031;1.66;1.87;3;2;178;20062;2.3
14101;14031;1.66;1.87;3;2;203;20062;1.4
14101;14031;1.66;1.87;3;2;56;20062;0.8
14101;14031;1.66;1.87;3;3;87;20062;2.3
14101;14031;1.66;1.87;3;3;121;20062;2.1
14101;14031;1.66;1.87;4;3;168;20062;1.6
14101;14031;1.66;1.87;4;3;192;20062;1.8
14101;14031;1.66;1.87;2;1;23;20063;1.9
14101;14031;1.66;1.87;2;1;48;20063;1.7
14101;14031;1.66;1.87;2;1;87;20063;1.4
14101;14031;1.66;1.87;2;1;114;20063;1.5
14101;14031;1.66;1.87;2;1;150;20063;1.2
14101;14031;1.66;1.87;2;1;181;20063;0.8
14101;14031;1.66;1.87;3;1;247;20063;0.8
14101;14031;1.66;1.87;3;1;272;20063;0.5
14101;14031;1.66;1.87;3;1;23;20063;1.5
14101;14031;1.66;1.87;3;2;135;20063;1.9
14101;14031;1.66;1.87;3;2;166;20063;1.9
14101;14031;1.66;1.87;3;2;200;20063;2.3
14101;14031;1.66;1.87;4;2;247;20063;1.8
14101;14031;1.66;1.87;4;2;271;20063;1.4
14101;14031;1.66;1.87;2;1;146;19047;2.9
14101;14031;1.66;1.87;2;1;189;19047;2
14101;14031;1.66;1.87;2;1;203;19047;2.6
14101;14031;1.66;1.87;2;1;235;19047;2.6
14101;14031;1.66;1.87;2;1;260;19047;2.7
14101;14031;1.66;1.87;3;1;301;19047;1.9
14101;14031;1.66;1.87;3;1;326;19047;1.7
14101;14031;1.66;1.87;3;1;354;19047;1.4
14101;14031;1.66;1.87;3;1;385;19047;1.5
